RU/UK,EN
tkachenko,Tkachenko
генералитет,generals
slave,Slave
eurasia ,Eurasia
brest,Brest
lebanon,Lebanon
taras shevchenko ,Taras Shevchenko
site ,Site
kurt walker ,Kurt walker
tagansarmat ,TaganSarmat
ленинградский государственный университет,Leningrad State University
alexey kuznetsov,Alexey Kuznetsov
kupyanka 1 ,Kupyanka 1
steppe ,Steppe
mortara case,Mortara case
водяной хозяин,Water master
жерар депардье,Gerard Depardieu
stalingrad front,Stalingrad front
bolotov ,Bolotov
барбара мак-клинток,Barbara McClintock
libya ,Libya
big bang,Big bang
mariupol ,Mariupol
пуаро (телесериал),Poirot (tv series)
europe,Europe
романов михаил федорович,Romanov Mikhail Fedorovich
dokuchaevsk,Dokuchaevsk
on institutska ,on Institutska
makiyivka ,Makiyivka
battalion vostok ,battalion Vostok
гармаш сергей,Garmash Sergey
мусульманство,Islam
вооружённые силы гибралтара,Gibraltar Armed Forces
sisco,Sisco
oleh tyahnybyk,Oleh tyahnybyk
kubinka ,Kubinka
kyiv ,Kyiv
pack,pack
"yampil, vinnytsia oblast","Yampil, Vinnytsia Oblast"
resistance ,Resistance
pmc ,PMC
aruba,Aruba
kalmius,Kalmius
main square ,main square
vremya,Vremya
л. п. берия,L.P. Beria
kalashnikov ,Kalashnikov
dolzhansky district,Dolzhansky District
ternopil,Ternopil
vinnytsia,Vinnytsia
london,London
euromaidan,Euromaidan
президент россии,President of Russia
virginia,Virginia
pridnestrovian moldavian republic,Pridnestrovian Moldavian Republic
preslav,Preslav
габриель бонёр шанель,Gabriel Boner Chanel
rome,Rome
эльфийский язык,elvish language
"стариков, николай викторович","Starikov, Nikolai Viktorovich"
kitty pryde,Kitty pryde
russia,Russia
nastya ,Nastya
babchenko ,Babchenko
strusovskogo district ,Strusovskogo district
photo ,PHOTO
nikishin ,Nikishin
chalet,chalet
ural,Ural
parliament ,Parliament
d-master ,D-Master
izium,Izium
nizhny novgorod ,Nizhny Novgorod
dmitry sadovnik ,Dmitry Sadovnik
mck,MCK
berkut ,Berkut
odessa khatyn ,Odessa Khatyn
кейт миддлтон,Kate Middleton
novorossia ,Novorossia
рокфеллер джон дэвисон,Rockefeller john davison
alain,Alain
burnley,Burnley
viktor yanukovych,Viktor Yanukovych
krasnodar region ,Krasnodar region
molotov ,Molotov
batkyvschyna ,Batkyvschyna
"чаушеску, елена","Ceausescu, Elena"
andrei lysenko ,Andrei Lysenko
высший офицер,senior officer
sonya,Sonya
antigen-presenting cell,Antigen-presenting cell
шу́я,Shuya
tselyam.ya ,tselyam.ya
replyuaknet ,Replyuaknet
уильям генри сьюард,William Henry Seward
alexey ,Alexey
rubezhnoye ,Rubezhnoye
levona ,levONA
motorola ,Motorola
фернан рено,Fernand Reno
trade unions ,Trade unions
"собчак, ксения анатольевна","Sobchak, Ksenia Anatolyevna"
полуостров сомали,Somalia Peninsula
га оон,UNGA
ramadan,Ramadian
medan,Medan
battalion ,battalion
апостол петр,Apostle Peter
sherbina ,Sherbina
budapest,Budapest
serbia,Serbia
джош фарро,Josh farro
soros ,Soros
msk0,MSK0
batkivshchyna,Batkivshchyna
горьковский университет,Gorky University
олдхэм,Oldham
dmitry kruzhkov ,Dmitry Kruzhkov
oldham,Oldham
dobropillia raion,Dobropillia raion
санкт-петербургский университет,St. Petersburg University
cleome,Cleome
square co.,Square Co.
stella ,Stella
julia ,Julia
александр александрович фридман,Alexander Alexandrovich Fridman
чон джессика,Jong Jessica
supreme council,Supreme Council
vladikavkaz,Vladikavkaz
mark galeotti,Mark Galeotti
карпентер ф.,Carpenter F.
lenin ,Lenin
block poroshenko ,block poroshenko
chapter dni ,Chapter DNI
carpenter,carpenter
полесская сечь,Polisskaya Sich
martha graham,Martha graham
circuito de jerez,Circuito de Jerez
святой петр,St. Peter
киевский особый военный округ,Kiev Special Military District
multi-instrumentalist,multi-instrumentalist
lev tolstoy ,Lev tolstoy
построчная развертка,progressive scan
anton blagin ,Anton Blagin
соболев с. л.,Sobolev S. L.
orange ,Orange
ato.http: //sokrytoe.net/18193-ukraina-unichtoz...i-45-polka.html ,ATO.http: //sokrytoe.net/18193-ukraina-unichtoz...i-45-polka.html
jay carney,Jay carney
taras,Taras
kirov,Kirov
вмс сингапура,Singapore Navy
defense dnr ,Defense DNR
э. шеварднадзе,E. Shevardnadze
grad ,Grad
yuri verbitsky ,Yuri verbitsky
stalin ,Stalin
eurasian steppe,Eurasian Steppe
david cameron,David Cameron
мериуэдер льюис,Meriweder Lewis
méxico,Mexico
maxim ,Maxim
ukraine hotel ,Ukraine Hotel
бюрм,FYROM
веймаровская республика,Weimar Republic
джон оуэн бреннан,John owen brennan
vladimir zharikhin,Vladimir Zharikhin
shelkovichnoe ,Shelkovichnoe
князь апостолов,Prince of the apostles
simon & schuster ,Simon & Schuster
caliber 5.56 mm ,Caliber 5.56 mm
belgorod ,Belgorod
victoria nuland ,Victoria Nuland
эдуард шеварнадзе,Edward Shevardnadze
yura,Yura
viktor viktor muzhenko ,Viktor Viktor Muzhenko
igor georgievski ,Igor Georgievski
щаранский анатолий борисович,Sharansky Anatoly Borisovich
соболев с.,Sobolev S.
brennan ,Brennan
self defense ,Self defense
andrei zolotarev ,Andrei Zolotarev
saakashvili,Saakashvili
дрейк дель кастильо,Drake del castillo
dniester,Diester
ban ki-moon ,Ban ki-moon
kaleban ,kaleban
barack obama,Barack obama
suvorov ,Suvorov
cossack,Cossack
brest ,Brest
"шустер, савик михайлович","Schuster, Savik Mikhailovich"
paris,Paris
войска по охране железных дорог,Troops for the protection of railways
slavyansk-na-kubani,Slavyansk-na-Kubani
югославская армия,Yugoslav army
mbc ,MBC
"россини, джоаккино","Rossini, Gioacchino"
moldavian ,Moldavian
nelson mandela,Nelson mandela
gardener dmitry ,Gardener Dmitry
druzhkovkakonstantinovka,DruzhkovkaKonstantinovka
шанхайская семёрка,Shanghai seven
"литвин, владимир михайлович","Litvin, Vladimir Mikhailovich"
msks,MSKS
sergey tretjakov ,Sergey Tretjakov
sergey lavrov ,Sergey Lavrov
hollande ,Hollande
pavel gubarev ,Pavel gubarev
джон бай,John bey
sergiorbs1 ,sergiorbs1
magadan ,Magadan
"лимонов, эдуард вениаминович","Limonov, Edward Veniaminovich"
paraná,Paraná
alexander kotsu ,Alexander Kotsu
ионийское море,Ionian Sea
village dmitrovka ,village Dmitrovka
donetsk region ,Donetsk Region
nexus ,NEXUS
syria ,Syria
dmitri nabokov,Dmitri Nabokov
don,Don
mihaylovka ,Mihaylovka
mikhail saakashvili ,Mikhail Saakashvili
bosnian ,Bosnian
"керенский, александр","Kerensky, Alexander"
joseph kobzon,Joseph Kobzon
luhansk oblast,Luhansk Oblast
of donetsk militia ,of Donetsk militia
kamenetz-shakhtinsky ,Kamenetz-Shakhtinsky
institutska street ,Institutska street
orange,Orange
", henry kissinger ",Henry Kissinger
pashinsky ,Pashinsky
valentyn nalyvaichenko,Valentyn Nalyvaichenko
стрижи,Swifts
pavel gubarev,Pavel gubarev
kukrinikz ,Kukrinikz
lukich ,Lukich
бронирование,booking
montezuma ,Montezuma
вв рф,VV RF
trade union,trade union
абрамович роман аркадьевич,Abramovich Roman Arkadyevich
zingel,Zingel
energy,Energy
мин,Min
hotel kozatsky ,hotel Kozatsky
russian ,Russian
колчак а. в.,Kolchak A.V.
ed stelmach,Ed stelmach
saratov,Saratov
bm-30 smerch,BM-30 Smerch
khartsyzk,Khartsyzk
vsn ,VSN
torez,Toorez
колонный зал,Column Hall
alexander turchinov ,Alexander Turchinov
gai ,GAI
boris yeltsin,Boris Yeltsin
ulan-ude,Ulan-ude
parasyuk ,Parasyuk
yugoslav ,Yugoslav
edition slavgorod ,Edition Slavgorod
уильям сьюард,William Seward
mironovka ,Myronovka
namibia,Namibia
"великороссия, velikorossiya","Great Russia, Velikorossiya"
сергей анатольевич лещенко,Sergey Anatolyevich Leshchenko
nato ,NATO
депутат парламента,member of parliament
afghanistan,Afghanistan
warsaw ,Warsaw
debaltsevskoy ,Debaltsevskoy
yasnogorku ,Yasnogorku
volunteer ,Volunteer
"russian civilization, ","Russian civilization,"
сумотори,Sumotori
пётр,Peter
nicholas lytvyn ,Nicholas lytvyn
denis pushilin ,Denis Pushilin
novorossiya ,Novorossiya
ra:in,Ra: IN
чужой среди своих,Alien among his
alchevsk ,Alchevsk
sergei pivovarov ,Sergei Pivovarov
nikolai kolesnik ,Nikolai Kolesnik
frank walter steinmeier ,Frank Walter Steinmeier
jeremi wiśniowiecki,Jeremi Wiśniowiecki
franklin,Franklin
minsky,Minsky
miners ,Miners
george v,George v
ukrainian border ,Ukrainian border
хлынов,Khlynov
kubinka,Kubinka
sony walkman,Sony walkman
horlivka,Horlivka
rovenki ,Rovenki
antimaydana ,Antimaydana
lifenews ,Lifenews
vyacheslav molotov,Vyacheslav Molotov
ukrainian state ,Ukrainian state
гудерме́с,Gudermes
terrible ,Terrible
"чачба, михаил георгиевич","Chachba, Mikhail Georgievich"
ukrayinska pravda,Ukrayinska Pravda
президент рсфср,President of the RSFSR
nvf ,Nvf
каспи́йск,Kaspiysk
kashin,Kashin
polabian slavs,Polabian slavs
jhansi,Jhansi
boeing ,Boeing
ponomarev ,Ponomarev
anton gerashchenko ,Anton Gerashchenko
республика северная македония,Republic of Northern Macedonia
"шустер, савелий михайлович","Schuster, Savely Mikhailovich"
xi jinping,Xi jinping
boris nemtsov,Boris Nemtsov
popasnaya ,Popasnaya
bulgaria ,Bulgaria
rossiya,Rossiya
дрейк дель кастильо эммануэль,Drake del Castillo Emmanuel
кахарь-на-март,Kahar-on-mart
бирма,Burma
tv channel russia 24 ,TV channel Russia 24
naftogaz ,Naftogaz
azarov ,Azarov
bermuda,Bermuda
rash ,rash
alexey baganets ,Alexey baganets
self-defense ,self-defense
volga ,Volga
jericho,Jericho
torez ,Toorez
digital,digital
"pervomayskoye, leningrad oblast","Pervomayskoye, Leningrad Oblast"
vera ,Vera
valery geleta ,Valery geleta
maidan ,Maidan
evonne goolagong cawley,Evonne goolagong cawley
starognatovki ,Starognatovki
nizhyn,Nizhyn
dzerzhinsk ,Dzerzhinsk
tv channel ukraine ,TV channel Ukraine
"карпентер, филипп пирсолл","Carpenter, Philippe Pearsall"
fukuyama ,Fukuyama
"шеварднадзе, эдуард амвросиевич","Shevardnadze, Eduard Amvrosiyevich"
channel 112 ukraine ,channel 112 Ukraine
nobili,Nobili
geleta ,Geleta
"салливан, артур","Sullivan, Arthur"
глазунов александр,Glazunov Alexander
ukraynoy ,Ukraynoy
navy russian navy russian ,Navy Russian Navy Russian
"channel"" russia 24 ","channel ""Russia 24"
ахайя,Achaia
nikitin ,Nikitin
pomerania ,Pomerania
углего́рск,Uglegorsk
генри киссинжер,Henry Kissinger
кравчук л.,Kravchuk L.
conservatory,conservatory
andrey purgin ,Andrey Purgin
operation barbarossa,Operation Barbarossa
bp,BP
mikhalkov ,Mikhalkov
александр федорович керенский,Alexander Fedorovich Kerensky
"принц евгений, герцог нерке","Prince Eugene, Duke Nerke"
harra,Harra
nbc ,NBC
mossad,Mossad
apodidae,Apodidae
нью-йорк итака,New York Ithaca
"чон, джессика","Jeon, Jessica"
data distribution service,Data distribution service
berlin ,Berlin
гай аврелий галерий диоклетиан,Guy Aurelius Galerius Diocletian
"sergei ivanov, ","Sergei Ivanov,"
vilnius ,Vilnius
saakashvili ,Saakashvili
ilya salmanzadeh,Ilya Salmanzadeh
zhitomir ,Zhitomir
vitali klitschko,Vitali Klitschko
turchinovu ,Turchinovu
кэтрин миддлтон,Catherine Middleton
"феррелл, уилл","Ferrell, Will"
e1 music,E1 Music
cherkasy,Cherkasy
кичман,Kichman
алекса́ндр ива́нович гучко́в,Aleksandr Ivanovich Guchkov
gorodnitsa ,Gorodnitsa
макаров с.,Makarov S.
moscow ,Moscow
куры,chickens
lolland,Lolland
tskhinvali,Tskhinvali
kutuzov ,Kutuzov
volgograd,Volgograd
skudar ,Skudar
"""observer"", ","""Observer"","
военная хунта,military junta
"kharkiv region, ","Kharkiv region,"
explorers program,Explorers program
marvin minsky,Marvin minsky
euroset ,Euroset
petrovka ,Petrovka
colonel-general scherbakov general ,Colonel-General Scherbakov General
nova brikula ,Nova brikula
street grushevskogo ,street Grushevskogo
prilep,Prilep
слободская украйна,Sloboda Ukraine
рафаэль гордильо,Rafael Gordillo
bill clinton,Bill clinton
лондон джон гриффит,London John Griffith
eagle ,eagle
березовский б. а.,Berezovsky B. A.
гучков а. и.,Guchkov A.I.
rai ,Rai
абель нильс,Abel niels
gumvd ,GUMVD
maydanovskymy ,maydanovskymy
vladimir makeienko,Vladimir Makeienko
september ,September
sovetskaya street. ,Sovetskaya Street.
semen semenchenko ,Semen semenchenko
pgo ,Pgo
ukrainian go sudarstva ,Ukrainian go sudarstva
водяные,Water
"ostrovsky district, pskov oblast","Ostrovsky District, Pskov Oblast"
европейская комиссия за демократию через право,European Commission for Democracy through Law
berkut,Berkut
нирманакая,nirmankaya
mezhigorye,Mezhigorye
вооруженные силы великобритании,British Armed Forces
", alexander vasilyev ",", Alexander Vasilyev"
спб университет,SPb University
спбу,SPbU
shtepa ,Shtepa
киевская филармония,Kiev Philharmonic
"удальцов, сергей станиславович","Udaltsov, Sergey Stanislavovich"
parashenko ,Parashenko
manila ,Manila
seaboard,Seaboard
щаранский н.,Sharansky N.
"mt-12, ","MT-12,"
site left bank,site Left Bank
вв мвд рф,VV MIA RF
леонов л. м.,Leonov L.M.
"депардьё, гийом","Depardieu, Guillaume"
хайнц альфред киссингер,Heinz Alfred Kissinger
mayor,mayor
ukrainians in russia,Ukrainians in Russia
султанат оман,Sultanate of Oman
spartacus,Spartacus
kozhevyno ,Kozhevyno
takbir,Takbir
аэрофло́т — росси́йские авиали́нии,Aeroflot - Russian Airlines
илья (фрегезия),Ilya (freesia)
черный араб,Black arab
heletei ,Heletei
бритиш петролеум,British Petroleum
", alexander malihin ",Alexander Malihin
netherlands,Netherlands
novogrigoryevka ,Novogrigoryevka
muzychko ,Muzychko
dhaka,Dhaka
osce minsk group,OSCE Minsk Group
gudermes,Gudermes
берлин-ванзе,Berlin-Wanze
mikhail pogrebinsky ,Mikhail Pogrebinsky
andrey tkachenko ,Andrey Tkachenko
nizhniy novgorod ,Nizhniy Novgorod
филип карпентер,Philip Carpenter
"глазунов, александр","Glazunov, Alexander"
iowa city,Iowa city
ксе́ния анато́льевна собча́к,Kseniya Anatolievna Sobchak
slavyanskom.vidny ,Slavyanskom.Vidny
yekaterinburg,Yekaterinburg
novoazovsk ,Novoazovsk
парламентарий,parliamentarian
zhytomyr oblast,Zhytomyr Oblast
олбани (нью-йорк),Albany (New York)
hold ,Hold
makiivka,Makiivka
boyarsky ,Boyarsky
armia krajowa,Armia krajowa
"романов, михаил iii фёдорович","Romanov, Michael III Fedorovich"
sam winchester,Sam winchester
воронцов а.,Vorontsov A.
stanislav rechinsky ,Stanislav Rechinsky
регентс-парк,Regents Park
rogozin ,Rogozin
св-1367,CB-1367
lions ,Lions
igor ,Igor
oktyabrsky district,Oktyabrsky District
островский район,Ostrovsky District
taras ,Taras
pomerania,Pomerania
gmina mycielin,Gmina mycielin
t-12 antitank gun,T-12 antitank gun
kabul,Kabul
берия л. п.,Beria L.P.
denis davydov ,Denis Davydov
ukrainian parla enta,Ukrainian Parla Enta
hotel,hotel
фокус оптической системы,Focus Optical System
trofim lysenko,Trofim lysenko
lord lord ,Lord lord
ospina ,Ospina
есенинская столица,Yesenin capital
voloshin ,Voloshin
gorlovsky ,Gorlovsky
# klitschko ,# Klitschko
defense ,defense
aleksandr aronets ,Aleksandr Aronets
torez-shakhtersk ,Toorez-shakhtersk
св. петр,St. Peter
starobelsk ,Starobelsk
squaresoft,Squaresoft
sergio,Sergio
gsh ,GSH
квениа,quenya
vladislav kutsenko ,Vladislav Kutsenko
восточный океан,East ocean
маленький двойной,small double
august wilhelm schlegel,August Wilhelm Schlegel
omega ,Omega
лес (каталония),Forest (Catalonia)
переяславль-рязанский,Pereyaslavl-Ryazan
verkhovna rada,Verkhovna Rada
gschs ,GSCHS
ирку́тск,Irkutsk
square co,Square co
julia,Julia
уилл фаррелл,Will Farrell
# # russkayavesna rusvesna ,# # RusskayaVesna RUSVESNA
мазервелл,Motherwell
"оао ""нк «ю́кос»","OJSC ""NC"" YUKOS """
valentin nalyvaychenko ,Valentin Nalyvaychenko
moskal,Moskal
odessa,Odessa
kazakhstan ,Kazakhstan
pistoleta,Pistoleta
bahmutky ,Bahmutky
"god, ",God
savik shuster,Savik shuster
kiriyenko ,Kiriyenko
rostov oblast,Rostov Oblast
denis davydov,Denis Davydov
ivano-frankivsk,Ivano-Frankivsk
capitol hill,Capitol hill
debaltsevsky boiler ,Debaltsevsky boiler
long an,Long an
kievan rus ,Kievan rus
литвин владимир михайлович,Litvin Vladimir Mikhailovich
pzl an-2,Pzl an-2
gorlovka ,Gorlovka
"angela merkel, putin ","Angela Merkel, Putin"
"михаил фёдорович, русский царь","Mikhail Fedorovich, Russian Tsar"
sergey gorbatyuk ,Sergey Gorbatyuk
brigade ghost ,Brigade ghost
jordan,Jordan
god,God
chicken,chicken
ukrainian-russian ,Ukrainian-Russian
pavel petrenko ,Pavel Petrenko
савенко эдуард вениаминович,Savenko Eduard Veniaminovich
иван дурново,Ivan Durnovo
cincinnati,Cincinnati
barbara mcclintock,Barbara McClintock
raygorodka ,Raygorodka
volodymyr rybak ,Volodymyr rybak
artemovsk ,Artemovsk
umkhonto we sizwe,Umkhonto We Sizwe
maiden,Maiden
eugene angry ,Eugene angry
луза (город),Luza (city)
sevastopol,Sevastopol
гийом депардье,Guillaume Depardieu
# putіn russia # ,# Putіn Russia #
sobibór extermination camp,Sobibór extermination camp
ilya azar ,Ilya Azar
столица поочья,Capital Otoga
clinton ,Clinton
yuriy lutsenko,Yuriy lutsenko
(@euromaidan ,(@euromaidan
eugene biyatov ,Eugene Biyatov
vks ,VKS
главный фокус,Main focus
sberbank ,Sberbank
абель нильс хенрик,Abel Nils Henrik
alexander kikhtenko ,Alexander Kikhtenko
"winnica, pułtusk county","Winnica, Pułtusk County"
antymaydan ,Antymaydan
crimea ,Crimea
"гарсиа, джерри","Garcia, Jerry"
"col. lukashuk, ",Col. Lukashuk
anders fogh rasmussen,Anders Fogh Rasmussen
vitali zaharchenko ,Vitali Zaharchenko
savchenko ,Savchenko
владимир литвин,Vladimir Litvin
гмина мыцелин,Gmina Mycelín
instagrame ,Instagrame
государственная филармония усср,State Philharmonic of the Ukrainian SSR
canada ,Canada
odnoklassniki ,Odnoklassniki
пао сбербанк,PJSC Sberbank
miroslav rudenko ,Miroslav Rudenko
givi gyva ,Givi gyva
kherson oblast,Kherson Oblast
radoslaw sikorski ,Radoslaw Sikorski
"депардье, жерар","Depardieu, Gerard"
unn.ru,Unn.ru
остров бугенвиль,bougainville island
european pl oschadi ,European PL oschadi
advertising,advertising
магада́н,Madagan
venice,Venice
водяной дедушка,Water grandfather
бутефлика,Bouteflika
ситик,CITIC
st. andrew's flag ,St. Andrew's flag
novaya gazeta,Novaya Gazeta
lee adama,Lee adama
zaporozhye,Zaporozhye
novorossyyu ,Novorossyyu
внутренние войска мвд российской федерации,Internal Troops of the Ministry of Internal Affairs of the Russian Federation
kharkiv ,Kharkiv
"ильин, иван александрович","Ilyin, Ivan Alexandrovich"
eugene losinsky ,Eugene losinsky
абдельазиз бутефлика,Abdelaziz Bouteflika
kseniya sobchak,Kseniya sobchak
штясны антон,Shastny Anton
novaya gazeta ,Novaya Gazeta
азербайджанская республика,The Republic of Azerbaijan
nikolaevich ,Nikolaevich
dzerzhinsk,Dzerzhinsk
parasiuk ,Parasiuk
zimbabwe,Zimbabwe
donetsk) here ,Donetsk) Here
natalia seliverstova ,Natalia SELIVERSTOVA
mao ,Mao
lesch.,Lesch.
tigipko ,Tigipko
hotels ukraine ,hotels Ukraine
абрамович р. а.,Abramovich R.A.
вечный город,The eternal City
лгу им. а.а. жданова,LSU them. A.A. Zhdanova
yakimenko ,Yakimenko
kosovo,Kosovo
weimar republic,Weimar republic
ополченец,Militiaman
supreme council ,Supreme Council
decatur,Decatur
vladimir gusinsky,Vladimir Gusinsky
egypt ,Egypt
грегорио риччи-курбастро,Gregorio Ricci-Curbastro
навстар,NAVSTAR
vodyanoy ,Vodyanoy
globe,Globe
cubism,Cubism
ilovaisky boiler ,Ilovaisky boiler
minsk memorandum ,Minsk memorandum
bp ,BP
echidna,Echidna
khodakovsky ,Khodakovsky
дмитрий иванович,Dmitry Ivanovich
август шлегель,August Schlegel
cherkasy oblast,Cherkasy Oblast
olkhovatka ,Olkhovatka
yuri,Yuri
drake,Drake
kaspiysk,Kaspiysk
"oayuv, usa ","OAYUV, USA"
pskov,Pskov
король-солнце,sun king
zhytomyrskoy region ,Zhytomyrskoy region
югославские партизаны,Yugoslav Partisans
bill dudley,Bill dudley
артур сеймур салливан,Arthur Seymour Sullivan
airport donetsk ,airport Donetsk
божество,deity
hungary,Hungary
krasnolimanskiy area ,Krasnolimanskiy area
gornja crnuća,Gornja crnuća
грушевский м. с.,Grushevsky M.S.
alex chesnakov ,Alex Chesnakov
khatyn massacre,Khatyn massacre
russia-24,Russia-24
government district ,government district
yeltsin ,Yeltsin
umbria,Umbria
"лондон, джон гриффит","London, John Griffith"
kedrovich ,Kedrovich
gpu ,GPU
mgb ,MGB
kreminna,Kreminna
steffen seibert,Steffen seibert
azabu,Azabu
mfa,MFA
vs ,VS
izvarino ,Izvarino
england,England
творец,Creator
ivanovka estate,Ivanovka estate
sweden,Sweden
site correspondent.net ,site Correspondent.net
кишинев,Kishinev
vesti,Vesti
severodonetsk ,Severodonetsk
аудх,Audh
les ,LES
vladimir vladimirovich putin ,Vladimir Vladimirovich Putin
luza,Luza
switzerland ,Switzerland
evgeniy667b ,Evgeniy667b
vyshhorod,Vyshhorod
voznesenivka,Voznesenivka
вторая республика,Second republic
rada ,Rada
kilmartin,Kilmartin
boggart,boggart
ferrari f1,Ferrari F1
sergei panteleyev ,Sergei Panteleyev
rossiyskaya gazeta,Rossiyskaya Gazeta
makeyenko ,Makeyenko
mr. volcker ,Mr. Volcker
msk ,MSK
snow,snow
batman,Batman
vladimir putin,Vladimir Putin
taras shevchenko,Taras Shevchenko
unian ,UNIAN
"лондон, джэк",London jack
of donetsk ,of Donetsk
cherkasy ,Cherkasy
oleg ljashko ,Oleg Ljashko
maloorlovka ,Maloorlovka
водяник,Vodyanik
александр воронцов,Alexander Vorontsov
рейхсталер,Reichstaler
vladimir lenin,Vladimir Lenin
independence square ,Independence square
директива № 21,Directive No. 21
benjamin franklin,Benjamin franklin
norilsk,Norilsk
maydan,Maydan
ancient rome,ancient Rome
немцов б.,Nemtsov B.
bluegrass,Bluegrass
"депардье, гийом","Depardieu, Guillaume"
olga bohomolec ,Olga Bohomolec
джон гриффит лондон,John griffith london
ghost,ghost
клеома,cleoma
clinton,Clinton
nieuport,Nieuport
verkhovna rada ,Verkhovna Rada
selma,Selma
vladimir zhirinovsky ,Vladimir Zhirinovsky
oleh lyashko,Oleh lyashko
zhirinovsky ,Zhirinovsky
volgograd ,Volgograd
codex vaticanus,Codex vaticanus
snow ,Snow
felon ,Felon
troops ,TROOPS
kusyuka ,Kusyuka
"штясны, антон","Shastny, Anton"
методисты,Methodists
novoazovsk areas ,Novoazovsk areas
vladimir venchak ,Vladimir Venchak
simferopol ,Simferopol
krasnolimanskiy ,Krasnolimanskiy
dolphin rfc,Dolphin RFC
bosnia,Bosnia
керенский,Kerensky
valery bolotov ,Valery Bolotov
mukachevo ,Mukachevo
venice commission ,Venice Commission
yuri lutsenko ,Yuri lutsenko
naftogaz,Naftogaz
anatoly sobchak,Anatoly sobchak
zaur ismailov ,Zaur ismailov
tskhinvali ,Tskhinvali
indian anna,Indian anna
"керенский, александр федорович","Kerensky, Alexander Fedorovich"
# putin donetsk # ,# Putin Donetsk #
barbel,barbel
taboola ,Taboola
sumy ,Sumy
"немцов, борис","Nemtsov, Boris"
веб-браузер,web browser
"slavyansk, lugansk ","Slavyansk, Lugansk"
нижегородский университет,Nizhny Novgorod University
самозащита,self defense
winnipeg,Winnipeg
denisenko ,Denisenko
yatsenyuk ,Yatsenyuk
zaporizhzhia,Zaporizhzhia
alexander barkashov ,Alexander Barkashov
soledar,Soledar
montesuma ,Montesuma
gristmill,gristmill
самооборона польской республики,Self-defense of the Republic of Poland
internet portal navigator ,Internet portal Navigator
donald tusk,Donald tusk
tsitelashvili ,Tsitelashvili
rscms ,RSCMS
эвонн гулагонг,Evonn gulagong
jericho ,Jericho
"царёв, олег анатольевич","Tsarev, Oleg Anatolyevich"
games ,Games
chisinau,Chisinau
verkhovna rada of ukraine,Verkhovna Rada of Ukraine
staff,staff
andrey nikiforov ,Andrey Nikiforov
ukrainian insurgent army,Ukrainian Insurgent Army
croatia ,Croatia
tbilisi ,Tbilisi
житомирщина,Zhytomyr region
собчак к. а.,Sobchak K.A.
партия зелёных,Green Party
motuzyanik ,Motuzyanik
mironovskiy ,Myronovskiy
m04 ,M04
lenta.ru ,Lenta.ru
"installation"" grad ","installation ""Grad"
dnepr ,Dnepr
киссинджер генри,Kissinger Henry
starobeshevskiy ,Starobeshevskiy
eduard shevardnadze,Eduard shevardnadze
pskov oblast,Pskov oblast
leonid matyuhin ,Leonid Matyuhin
ленинградский университет,Leningrad University
slavgorod ,Slavgorod
nrj,Nrj
caucasus,Caucasus
viktor yushchenko ,Viktor Yushchenko
felony,felony
mayor ,mayor
антон штястны,Anton Stjastny
alexander prokhanov ,Alexander Prokhanov
p-29rmu2.1 liner ,P-29RMU2.1 Liner
республика кения,Republic of Kenya
mustafa dzhemilev ,Mustafa Dzhemilev
mustafa nayem ,Mustafa nayem
kosi river,Kosi river
mikhail kalashnikov,Mikhail Kalashnikov
fishermen ,Fishermen
czech republic ,Czech Republic
aleksey yakimenko,Aleksey Yakimenko
выигрыш,Win
borisych ,Borisych
sergei sobolev,Sergei Sobolev
лорд верховный канцлер англии,Lord High Chancellor of England
полярные районы земли,polar regions of the earth
asb ,ASB
an-2,An-2
donetsk republic ,Donetsk republic
belgium ,Belgium
shanghai cooperation organisation,Shanghai Cooperation Organization
jay carney ,Jay carney
vladimir vladimirovich ,Vladimir Vladimirovich
rsfsr ,RSFSR
butusov ,Butusov
джон девисон рокфеллер,John davison rockefeller
dmitry boytsov ,Dmitry Boytsov
persian gulf,Persian gulf
missiles r-29rmu2 blueness ,missiles R-29RMU2 Blueness
вооружённые силы острова мэн,Isle of Man Armed Forces
alaska,Alaska
"царев, олег анатольевич","Tsarev, Oleg Anatolyevich"
правитель омский,Omsk ruler
expert,expert
nagant,Nagant
vkontakte ,Vkontakte
elf,elf
михаил феодорович,Mikhail Feodorovich
irkutsk,Irkutsk
sea ,Sea
swissair,Swissair
гучков александр иванович,Guchkov Alexander Ivanovich
karlivka,Karlivka
прусское герцогство,Duchy of Prussia
politnavigatora ,PolitNavigatora
fernand renault,Fernand renault
bilaspur,Bilaspur
mike gordon,Mike gordon
ming ,Ming
генри альфред киссинджер,Henry Alfred Kissinger
hotel ukraine,Hotel Ukraine
страна берёзового ситца,Country Calico
bender,Bender
government berkut ,government berkut
магометанство,Mohammedanism
vladimir putin ,Vladimir Putin
robert h. serry,Robert H. Serry
serhiy leshchenko ,Serhiy Leshchenko
время московское,Moscow time
stefan scholl ,Stefan scholl
ruslan bortnik ,Ruslan Bortnik
john d. rockefeller,John D. Rockefeller
zakhar ,Zakhar
john adams,John adams
"ост-индийская компания, британская","East Indian Company, British"
first channel ,First channel
ptu ,PTU
internal ,Internal
igor igor bezler ,Igor Igor Bezler
э.а. шеварднадзе,E.A. Shevardnadze
novogrigorovki ,Novogrigorovki
сити (крупный город),city (big city)
